Skill,Count
machine learning,262
python,252
data science,198
data analysis,144
deep learning,143
natural language processing,141
data visualization,126
artificial intelligence,93
sql,82
computer vision,74
data analytics,71
data mining,69
statistics,52
generative ai,50
pandas,47
mysql,44
statistical data analysis,43
analytical skills,38
machine learning algorithms,31
tensorflow,31
analytics,31
predictive analytics,31
artificial neural networks,28
web scraping,27
microsoft power bi,27
exploratory data analysis,25
time series analysis,25
business intelligence,25
r,24
neural networks,24
predictive modeling,23
data cleaning,23
time series forecasting,23
large language models,23
statistical modeling,22
big data,22
text analytics,21
data modeling,21
convolutional neural networks,18
image processing,18
opencv,18
supervised learning,17
unsupervised learning,17
big data analytics,15
data warehousing,14
data structures,13
nosql,13
business analytics,13
keras,12
project management,12
deep neural networks,12
data preparation,12
data engineering,11
numpy,11
mongodb,11
sentiment analysis,10
data analysisdata analysis,9
data scientist,9
probability,9
risk analytics,9
data collection,9
pytorch,9
associate - data scientist,9
data management,9
team management,8
scikit-learn,8
decision trees,8
selenium,7
random forest,7
linear regression,7
k-nearest neighbors,7
matplotlib,7
software development,6
web development,6
nlp,6
microsoft powerpoint,6
statistical analysis,6
dataanalysispython,6
azure sql,6
model building,6
feature engineering,6
digital image processing,6
databases,5
data scientists,5
hadoop,5
analytical techniques,5
agile methodologies,5
linear programming,5
sqldata science,5
data scrapingdata scrapinweb scrapingnatural language processing,5
data manipulation,5
genrative ai,4
business data management,4
gpt-4,4
postgresqlnatural language processing,4
seaborn,4
open cv,4
openai products,4
prompt engineering,4
quality assurance,3
data processing,3
pyspark,3
regression analysis,3
nltk,3
missing data,3
mathematical modeling,3
pattern recognition,3
python programming,3
azure databricks,3
pl/sql,3
business development,3
data visualizationdeep learningsql,3
algorithms,3
data structures and algorithms,3
selenium webdriver,3
artificial intelligene,3
pivot tables,3
load,3
cbusiness analysis,3
transform,3
extract,3
pandasdata science,3
database management system,3
web crawling,3
tensorflow lite,3
data cleaning & modeling,3
data visualization & storytelling,3
power bi,3
google data studio,3
chatbot development,2
statisticspython,2
postgresql,2
pandasartificial intelligence,2
ml,2
aritficial neural networks,2
anaconda,2
robot framework,2
pythonmysql,2
ai and machine learning,2
tableau,2
pythonsql,2
deeplearning,2
image processingimage processing1 endorsement,2
text miningsql,2
prescriptive analytics,2
applied mathematics,2
analysis,2
product development,2
applied machine learning,2
quantitative analytics,2
design thinking,2
decision-making,2
business requirements,2
regression,2
problem solving,2
jio institutebusiness analytics,2
excel,2
powerbi,2
artificial intelligencestatistics,2
data pipelines,2
api development,2
statistical concepts,2
google cloud platform,2
text mining,1
data extraction,1
generative ai tools,1
generativeai,1
buisness analysis,1
business analysis,1
datamodeling,1
database analysis,1
vision science,1
deep learning statistics,1
data scraping,1
google bigquery,1
pythonprogramminglanguage),1
datascience,1
machinelearning,1
promptengineering,1
code generation,1
